circuit_id,gate,n_nodes,snr_reportado,snr_real,media_low,media_high,desvio_low,desvio_high,sinal,ruido
38279352066884252_496,NOT,6,2.291288,0.559359,0.2,1.25,0.6959,1.7434,1.05,1.8771
38279352071511017_497,NOT,4,7.559639,0.4573,477.25,642.4,284.4738,222.4808,165.15,361.1414
38279352152595057_498,NOT,6,0.875197,0.04521,609.1,630.7,370.2099,302.0148,21.6,477.7743
38279352262431978_499,NOT,5,1.260252,0.289365,0.5,1.4,1.1471,2.891,0.9,3.1103
38279352329363789_500,NOT,5,2.041241,0.515134,0.05,0.55,0.2236,0.9445,0.5,0.9706
38279355675841603_501,NOT,4,5.030291,0.367955,269.95,352.6,163.8332,153.6642,82.65,224.6196
38279355787260830_502,NOT,4,1.571061,0.071429,943.2,991.45,525.1263,424.9026,48.25,675.4997
38279355805651955_503,NOT,5,1.000571,0.092139,210.0,224.5,110.5465,112.004,14.5,157.3703
38279355899298829_504,NOT,4,1.282789,0.286802,1.45,3.0,2.5438,4.7683,1.55,5.4044
38279355907628041_505,NOT,5,1.629916,0.229684,1.65,3.75,2.4121,8.8191,2.1,9.143
38279356148439892_506,NOT,5,3.211746,0.167858,836.65,929.55,432.2452,345.6348,92.9,553.4432
38279356185690607_507,NOT,4,2.49878,0.587754,0.4,2.0,0.9403,2.5547,1.6,2.7222
38279360091010616_508,NOT,5,2.930736,0.228334,323.95,376.7,141.6473,182.5022,52.75,231.0217
38279360097298040_509,NOT,5,1.605882,0.112006,536.6,573.8,159.3277,291.413,37.2,332.1247
38279360347896010_510,NOT,5,4.244797,0.217332,703.65,816.25,382.9267,348.9937,112.6,518.1018
38279360374755082_511,NOT,5,3.015874,0.221674,209.95,253.65,138.5513,140.2367,43.7,197.1365
38279360424489844_512,NOT,5,2.460674,0.148041,603.5,663.95,209.111,350.7267,60.45,408.334
38279360445714941_513,NOT,6,5.88396,0.534755,170.8,247.7,69.9109,125.6667,76.9,143.8042
38279360619341301_514,NOT,4,1.246121,0.359646,0.7,1.75,0.9787,2.7506,1.05,2.9195
38279360630408929_515,NOT,4,0.960769,0.28939,1.55,2.75,2.1879,3.5225,1.2,4.1467
38279360717948010_516,NOT,6,3.77967,0.237843,326.05,394.3,208.8393,196.7967,68.25,286.9543
38279360763045466_517,NOT,5,7.17446,0.480002,507.65,669.3,220.9718,254.1359,161.65,336.7694
38279361158188934_518,NOT,4,2.20261,0.093882,662.65,719.35,359.8174,485.066,56.7,603.9516
38279361307044493_519,NOT,6,5.23391,0.324554,582.3,708.6,292.0038,257.2372,126.3,389.1493
38279366932253656_520,NOT,5,0.961074,0.178567,1.3,2.4,2.9753,5.394,1.1,6.1601
38279366988420391_521,NOT,6,2.18192,0.341913,1.15,3.5,2.2308,6.501,2.35,6.8731
38279367066016847_522,NOT,5,1.069045,0.306786,1.25,2.45,1.916,3.4101,1.2,3.9115
38279367080486755_523,NOT,6,1.224745,0.312593,0.05,0.35,0.2236,0.9333,0.3,0.9597
38279367100989354_524,NOT,4,9.515086,0.40357,635.4,875.25,379.0786,457.7293,239.85,594.3203
38279367161880757_525,NOT,4,1.611247,0.117349,374.95,406.15,163.0539,210.0038,31.2,265.8725
38279367196440516_526,NOT,4,1.538644,0.42245,0.65,1.9,1.04,2.7701,1.25,2.9589
