query_protein,instance_type,ucf_json_file,ucf_object_index,ucf_record_type,gate_or_fragment_name,has_response_parameters,target_metric,target_metric_name,target_metric_source,derived_dynamic_range,derived_log10_on_off_ratio,ucf_param_ymax,ucf_param_ymin,ucf_param_K,ucf_param_n,ucf_param_a,ucf_param_b,ucf_param_alpha,ucf_param_beta,ucf_param_tau_on,ucf_param_tau_off
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\SC\SC1C1G1T1.UCF.json,0,header,QacR,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\SC\SC1C1G1T1.UCF.json,268,gates,P1_QacR,0,,,not_found,,,,,,,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\SC\SC1C1G1T1.UCF.json,290,models,P1_QacR_model,1,1120.0,on_off_ratio,derived_from_ymax_ymin,2.2380000000000004,3.0492180226701815,2.24,0.002,0.19,3.36,,,,,,
QacR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\SC\SC1C1G1T1.UCF.json,291,,p1_qacr,0,,,not_found,,,,,,,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,259,gates,A1_AmtR,0,,,not_found,,,,,,,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,273,response_functions,A1_AmtR,1,63.333333333333336,on_off_ratio,derived_from_ymax_ymin,3.7399999999999998,1.8016323462331665,3.8,0.06,0.07,1.6,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T0.UCF.json,666,eugene_rules,gate_amtr,0,,,not_found,,,,,,,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,302,response_functions,A1_AmtR,1,89.05360056247291,on_off_ratio,derived_from_ymax_ymin,3.101389402,1.9496514832917038,3.13661101,0.035221608,0.047427884,1.656171138,0.274797631,1.0,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,515,gates,A1_AmtR_a,0,,,not_found,,,,,,,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,522,gates,A1_AmtR_b,0,,,not_found,,,,,,,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,539,response_functions,A1_AmtR_a,1,82.07500000000002,on_off_ratio,derived_from_ymax_ymin,2.0528190000000004,1.9142108914013778,2.078139,0.02532,0.147489,1.698,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco2C1G3T1.UCF.json,581,response_functions,A1_AmtR_b,1,82.07500000000002,on_off_ratio,derived_from_ymax_ymin,2.0528190000000004,1.9142108914013778,2.078139,0.02532,0.147489,1.698,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,280,models,A1_AmtR_model,1,63.333333333333336,on_off_ratio,derived_from_ymax_ymin,3.7399999999999998,1.8016323462331665,3.8,0.06,0.07,1.6,,,0.2747976308366057,1.0,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,281,,a1_amtr,0,,,not_found,,,,,,,,,,,,
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,308,models,A1_AmtR_model,1,89.05360056247291,on_off_ratio,derived_from_ymax_ymin,3.101389402,1.9496514832917038,3.13661101,0.035221608,0.047427884,1.656171138,,,0.274797631,1.0,0.9,2.5
AmtR,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco2C1G3T1.UCF.json,583,models,A1_AmtR_model,1,82.07500000000002,on_off_ratio,derived_from_ymax_ymin,2.0528190000000004,1.9142108914013778,2.078139,0.02532,0.147489,1.698,,,,,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,269,gates,N1_LmrA,0,,,not_found,,,,,,,,,,,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,334,response_functions,N1_LmrA,1,11.0,on_off_ratio,derived_from_ymax_ymin,2.0,1.0413926851582251,2.2,0.2,0.18,2.1,,,,,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C1G1T1.UCF.json,835,eugene_rules,gate_lmra,0,,,not_found,,,,,,,,,,,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v1\ucf\Eco\Eco1C2G2T2.UCF.json,334,response_functions,N1_LmrA,1,16.37617071162052,on_off_ratio,derived_from_ymax_ymin,1.188165807,1.2142123569339045,1.265439,0.077273193,0.093521178,1.754564179,0.283990165,1.0,,,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,352,models,N1_LmrA_model,1,11.0,on_off_ratio,derived_from_ymax_ymin,2.0,1.0413926851582251,2.2,0.2,0.18,2.1,,,0.2839901653137192,1.0,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C1G1T1.UCF.json,353,,n1_lmra,0,,,not_found,,,,,,,,,,,,
Lmra,ucf_gate_or_circuit_fragment,outputs\cache\Cello-UCF-develop\files\v2\ucf\Eco\Eco1C2G2T2.UCF.json,348,models,N1_LmrA_model,1,16.37617071162052,on_off_ratio,derived_from_ymax_ymin,1.188165807,1.2142123569339045,1.265439,0.077273193,0.093521178,1.754564179,,,0.283990165,1.0,1.0,1.3
