Y,algorithm_mnemonic,average_clustering,circuit_id,density,gate,in_degree_max,in_degree_mean,in_degree_min,in_degree_std,is_directed_acyclic_graph,largest_component_avg_shortest_path,largest_component_diameter,largest_strong_component_size,largest_weak_component_size,num_edges,num_isolates,num_nodes,num_self_loops,num_strong_components,num_weak_components,out_degree_max,out_degree_mean,out_degree_min,out_degree_std,reciprocity,snr,total_degree_max,total_degree_mean,total_degree_min,total_degree_std,transitivity
8.607310308989637,FUZZY_OPTUNA_DARTS,0.0,2026-08-21_13-40-16,0.15,XOR,2.0,0.6,0.0,0.8,True,1.5,2,1,4,3,1,5,0,5,2,1.0,0.6,0.0,0.4898979485566356,0.0,8.607310308989637,3.0,1.2,0.0,0.9797958971132712,0.0
0.8593655358592658,FUZZY_OPTUNA_DARTS,0.501058201058201,2026-08-21_13-37-19,0.375,XOR,6.0,3.0,0.0,2.0548046676563256,False,1.3888888888888888,2,5,9,27,0,9,0,5,1,4.0,3.0,0.0,1.247219128924647,0.37037037037037035,0.8593655358592658,8.0,6.0,2.0,2.160246899469287,0.5425531914893617
4.3892369881497535,FUZZY_OPTUNA_DARTS,0.0,2026-08-21_13-42-30,0.14285714285714285,XOR,3.0,1.0,0.0,1.118033988749895,False,2.4761904761904763,5,1,7,8,1,8,2,8,2,2.0,1.0,0.0,0.7071067811865476,0.0,4.3892369881497535,4.0,2.0,0.0,1.224744871391589,0.0
0.873237304791137,FUZZY_OPTUNA_DARTS,0.6640211640211641,2026-08-21_13-40-39,0.4305555555555556,XOR,7.0,3.4444444444444446,0.0,2.2662308949301266,False,1.3611111111111112,2,6,9,31,0,9,4,4,1,6.0,3.4444444444444446,0.0,1.5713484026367723,0.25806451612903225,0.873237304791137,10.0,6.888888888888889,2.0,2.9228769862146455,0.6666666666666666
1.029284551658864,FUZZY_OPTUNA_DARTS,0.0,2026-08-21_13-50-28,0.16666666666666666,XOR,2.0,0.8333333333333334,0.0,0.8975274678557507,True,1.6,3,1,5,5,1,6,0,6,2,2.0,0.8333333333333334,0.0,0.8975274678557507,0.0,1.029284551658864,3.0,1.6666666666666667,0.0,0.9428090415820634,0.0
2.1568295991459197,FUZZY_OPTUNA_DARTS,0.0,2026-08-21_14-16-02,0.05555555555555555,XOR,3.0,0.5,0.0,0.9219544457292888,False,1.8,3,2,5,5,5,10,0,9,6,2.0,0.5,0.0,0.6708203932499369,0.4,2.1568295991459197,4.0,1.0,0.0,1.3416407864998738,0.0
10.021387709446891,FUZZY_OPTUNA_DARTS,0.0,2026-08-21_14-23-55,0.09722222222222222,XOR,2.0,0.7777777777777778,0.0,0.9162456945817024,True,1.6,3,1,6,7,3,9,0,9,4,2.0,0.7777777777777778,0.0,0.9162456945817024,0.0,10.021387709446891,4.0,1.5555555555555556,0.0,1.3425606637327303,0.0
1.07621237248903,FUZZY_OPTUNA_DARTS,0.0,2026-08-21_14-45-48,0.25,XOR,3.0,1.0,0.0,1.0954451150103321,False,1.8,3,2,5,5,0,5,0,4,1,2.0,1.0,0.0,0.6324555320336759,0.4,1.07621237248903,4.0,2.0,1.0,1.2649110640673518,0.0
2.4304313207062638,FUZZY_OPTUNA_DARTS,0.42857142857142855,2026-08-21_15-08-05,0.16666666666666666,XOR,3.0,1.0,0.0,1.1952286093343936,False,1.4,2,1,5,7,2,7,1,7,3,2.0,1.0,0.0,0.9258200997725514,0.0,2.4304313207062638,5.0,2.0,0.0,1.7728105208558367,0.5454545454545454
3.3113123529056345,FUZZY_OPTUNA_DARTS,0.18,2026-08-21_15-11-46,0.17777777777777778,XOR,5.0,1.6,0.0,1.9078784028338913,False,1.5238095238095237,3,3,7,16,3,10,3,8,4,3.0,1.6,0.0,1.3564659966250536,0.25,3.3113123529056345,7.0,3.2,0.0,2.749545416973504,0.32142857142857145
1.2945526388723185,FUZZY_OPTUNA_DARTS,0.619047619047619,2026-08-21_15-21-52,0.3333333333333333,XOR,3.0,2.0,0.0,1.3093073414159544,False,1.5714285714285714,3,4,7,14,0,7,1,4,1,4.0,2.0,0.0,1.1952286093343936,0.2857142857142857,1.2945526388723185,7.0,4.0,1.0,2.0,0.6206896551724138
0.9296915051865051,FUZZY_OPTUNA_DARTS,0.10999999999999999,2026-08-21_15-51-09,0.24444444444444444,XOR,5.0,2.2,0.0,1.7776388834631178,False,1.5,3,4,9,22,1,10,1,7,2,5.0,2.2,0.0,1.7204650534085253,0.18181818181818182,0.9296915051865051,7.0,4.4,0.0,1.9595917942265424,0.140625
